"","Front.Door","Window","Back.Door","Forced.Entry","Unforced.Entry","House","Bank","Shop","Money","Jewellery","Electronics","Morning","Afternoon","Night","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday"
"C 29",0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"C 30",0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"C 31",1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"C 32",1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"C 33",0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"C 34",0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"C 35",0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"C 36",0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"C 37",0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"C 38",0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"C 39",0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"C 40",0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"C 41",0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"C 42",0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"C 43",0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"C 44",0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"C 45",0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"C 46",1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"C 47",0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"C 48",0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"C 49",0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"C 50",0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"C 51",0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
"C 52",0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
"C 53",0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
"C 54",0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"C 55",0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
"C 56",1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"C 57",0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
"C 58",1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"C 59",0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"C 60",0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"C 61",0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 62",0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 63",0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 64",0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 65",0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 66",1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"C 67",1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 68",0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"C 69",1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 70",0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"C 71",1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"C 72",1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"C 73",1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"C 74",1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"C 75",1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"C 76",1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"C 77",0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"C 78",1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"C 79",1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"C 80",1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"C 81",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 82",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 83",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 84",0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
"C 85",0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
"C 86",0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
"C 87",0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"C 88",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 89",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"C 90",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 91",0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 92",1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 93",1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"C 94",1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 95",1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 96",1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"C 97",1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 98",1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"C 99",1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"C 100",1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"C 101",1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"C 102",1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"C 103",0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"C 104",0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"C 105",1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"C 106",0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"C 107",1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
"C 108",1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"C 109",1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"C 110",1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"C 111",0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"C 112",0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"C 113",0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
"C 114",1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"C 115",0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
"C 116",0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"C 117",0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
"C 118",0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"C 119",0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
"C 120",0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"C 121",0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 122",0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 123",0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 124",0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 125",0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 126",0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"C 127",0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 128",0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 129",0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 130",0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"C 131",1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"C 132",0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 133",1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 134",1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"C 135",1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"C 136",1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 137",1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"C 138",0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 139",1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"C 140",1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 141",0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"C 142",0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"C 143",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"C 144",1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"C 145",0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"C 146",1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"C 147",0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"C 148",0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"C 149",0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"C 150",0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"C 151",0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"C 152",1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"C 153",0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
"C 154",0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
"C 155",0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"C 156",0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
"C 157",0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
"C 158",1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"C 159",1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
"C 160",0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"C 161",0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
"C 162",0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"C 163",1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
"C 164",1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"C 165",0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"C 166",1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"C 167",1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"C 168",1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"C 169",1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
"C 170",1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"C 171",0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 172",1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"C 173",1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"C 174",0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"C 175",0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"C 176",0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"C 177",0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"C 178",0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"C 179",0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"C 180",0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"C 181",0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
"C 182",0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 183",0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 184",0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"C 185",0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
"C 186",0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 187",0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 188",0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 189",0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 190",0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 191",1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"C 192",0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"C 193",1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"C 194",1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"C 195",1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"C 196",1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"C 197",1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"C 198",1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"C 199",1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"C 200",0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
