"","Front.Door","Window","Back.Door","Forced.Entry","Unforced.Entry","House","Bank","Shop","Money","Jewellery","Electronics","Morning","Afternoon","Night","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday"
"C 35",0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"C 36",1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"C 37",1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
"C 38",1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
"C 39",1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"C 40",1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"C 41",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"C 42",0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
"C 43",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"C 44",0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 45",0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"C 46",1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"C 47",0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 48",0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"C 49",1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"C 50",1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 51",1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"C 52",1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"C 53",1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"C 54",1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"C 55",0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"C 56",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"C 57",0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"C 58",0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
"C 59",0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"C 60",0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
"C 61",0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 62",0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 63",0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 64",0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 65",0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 66",1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 67",0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"C 68",1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"C 69",1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 70",0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"C 71",0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"C 72",0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"C 73",0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"C 74",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"C 75",1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"C 76",0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"C 77",1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"C 78",0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
"C 79",1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"C 80",0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"C 81",0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"C 82",0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"C 83",1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"C 84",1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"C 85",1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"C 86",0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"C 87",0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"C 88",0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"C 89",0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"C 90",0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"C 91",0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
"C 92",0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 93",0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 94",1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 95",0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"C 96",1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"C 97",1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"C 98",1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"C 99",1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"C 100",0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
