"","Front.Door","Window","Back.Door","Forced.Entry","Unforced.Entry","House","Bank","Shop","Money","Jewellery","Electronics","Morning","Afternoon","Night","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday"
"C 75",1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"C 76",0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"C 77",1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
"C 78",0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"C 79",1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"C 80",1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"C 81",0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
"C 82",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 83",0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
"C 84",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 85",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"C 86",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 87",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 88",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 89",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 90",0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
"C 91",1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 92",1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 93",1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 94",1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 95",1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
"C 96",1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 97",1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 98",1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"C 99",1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C 100",1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
